wavelength,absorption cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
785.9,-1.92424796483889E-27,-2.37437280206558E-27,-2.14741287553412E-27,-2.33523117385928E-27,-2.26093612128091E-27,-2.41617701743482E-27,-2.58609519230228E-27,-2.62351771524615E-27,-2.16866976354736E-27,-2.26131150526915E-27,-1.7695896070106E-27,-1.6714692659786E-27,-1.9297743386201E-27,-2.32518023734365E-27,-2.90997080941814E-27,-2.18647479455212E-27,-1.87044057547025E-27,-2.46496473899102E-27,-1.99592346425922E-27,-1.79431649617104E-27,-1.92188483621621E-27,-1.49564139196129E-27,-2.29865823815489E-27,-2.40853896888556E-27,-2.01332507713779E-27,-1.57385825789545E-27,-1.81588593587732E-27,-2.17263100132932E-27,-1.77333110375236E-27,-1.35776683793883E-27,-1.45237373889625E-27,-1.50909411140952E-27,-1.45291707678447E-27,-1.15334084981818E-27
786,-1.86592005010051E-27,-2.31733760246831E-27,-2.09077792122534E-27,-2.27550565121139E-27,-2.20012214738446E-27,-2.35523723687399E-27,-2.26272788272944E-27,-2.31517937337419E-27,-1.85977971885963E-27,-2.19767333068853E-27,-1.95728391866099E-27,-1.866454670027E-27,-1.87198943162315E-27,-2.26705618171005E-27,-2.59621563094176E-27,-1.87868379393931E-27,-1.81193321671569E-27,-2.15143655833774E-27,-1.39946609080284E-27,-1.46928791934504E-27,-2.13788225083048E-27,-1.97978597839112E-27,-1.97101108744435E-27,-2.35372104790105E-27,-2.21621773637288E-27,-1.52188115492481E-27,-2.01604211304122E-27,-2.12085363249426E-27,-1.4523414424482E-27,-1.30488642458662E-27,-1.39608895531935E-27,-1.73110399755924E-27,-1.38924949637687E-27,-1.38964287192662E-27
786.1,-1.57227645015532E-27,-2.58306530139096E-27,-2.35128812286009E-27,-2.27098507548655E-27,-2.1945128178662E-27,-2.10359692006804E-27,-2.51158960293853E-27,-2.56005582000135E-27,-1.85302428814383E-27,-2.43112991313966E-27,-2.44944939820021E-27,-1.86378543190535E-27,-2.39430423497547E-27,-2.26413531814348E-27,-2.84446215437679E-27,-2.12726839439131E-27,-1.80863287700448E-27,-2.15162475843604E-27,-1.67503087659009E-27,-1.74069403598377E-27,-1.87153729358806E-27,-1.98082426397308E-27,-1.69841347084248E-27,-2.35410722462476E-27,-1.9667020457954E-27,-1.78152185285785E-27,-1.76568660876991E-27,-2.12427898182598E-27,-1.45039345688319E-27,-1.84247917153892E-27,-1.67130152410386E-27,-1.45183745019528E-27,-1.38078716635743E-27,-1.38537181733335E-27
786.2,-1.26563265076725E-27,-2.01015476464609E-27,-1.78439882043227E-27,-2.22103664737733E-27,-1.63413637209477E-27,-2.04024832615674E-27,-2.19842188533794E-27,-2.00340305413303E-27,-1.78968097270784E-27,-2.11918051316646E-27,-1.88976993124581E-27,-1.81031960310776E-27,-2.08820273932434E-27,-2.20398339480063E-27,-2.28239422651899E-27,-1.5711656637607E-27,-1.76089425559002E-27,-1.84829485048071E-27,-1.64692019829549E-27,-1.70842843111542E-27,-1.57044739847552E-27,-1.67834354193889E-27,-1.66601164160529E-27,-2.0509749998946E-27,-1.66747194393273E-27,-1.2248151156374E-27,-1.71752766818468E-27,-1.56693530532264E-27,-1.40876464825048E-27,-1.27372261260003E-27,-1.36670167147576E-27,-8.688884165735E-28,-1.0688075882206E-27,-1.07758162171555E-27
786.3,-1.49785211792121E-27,-2.22070763814964E-27,-1.98973636137835E-27,-2.41929367679856E-27,-1.82460406196507E-27,-2.22511757182193E-27,-2.39197125912581E-27,-2.44198067365011E-27,-1.72775365882048E-27,-2.0555777180206E-27,-1.82783403487289E-27,-1.49975205568605E-27,-1.76806944822105E-27,-2.14588738292753E-27,-2.47546896819956E-27,-1.76457950170463E-27,-1.70242642381391E-27,-2.05182229022315E-27,-1.59498522807135E-27,-1.65404865394432E-27,-1.78647603142515E-27,-1.6242072781507E-27,-1.610099692274E-27,-1.99618783970082E-27,-1.87039089640081E-27,-1.42928139132078E-27,-1.41199801269295E-27,-2.02954350272811E-27,-1.35164608255332E-27,-1.48842905936728E-27,-1.31044650071851E-27,-1.369330468344E-27,-1.28390503427508E-27,-1.31372772911742E-27
786.4,-1.494723779279E-27,-2.75353860853268E-27,-1.72636477712644E-27,-2.41477429123225E-27,-2.07011116456517E-27,-2.46503170215765E-27,-2.38232249191846E-27,-2.43785020542755E-27,-1.72099904964684E-27,-2.28891418021545E-27,-1.82107018354192E-27,-1.49707829603134E-27,-1.76548270895916E-27,-2.14296244244202E-27,-2.47031805158612E-27,-1.76258149616822E-27,-1.95806915680219E-27,-2.31038108374691E-27,-1.59822154576288E-27,-1.65484195060776E-27,-1.78890348284069E-27,-1.62524238507915E-27,-1.60936099362994E-27,-2.24311712065021E-27,-1.62086937736132E-27,-1.68878046140585E-27,-1.92007816379905E-27,-1.77585365109428E-27,-1.34970087291699E-27,-1.4907467891987E-27,-1.58549559833698E-27,-1.36830053562457E-27,-1.27544480645288E-27,-1.30945309617867E-27
786.5,-1.4640160148843E-27,-2.18945738115453E-27,-1.95929633670562E-27,-2.38267712112995E-27,-1.78580788076E-27,-2.18606742482485E-27,-2.34509604480529E-27,-2.15726641273259E-27,-1.68666653324005E-27,-2.25290780973453E-27,-1.78672776516331E-27,-1.71954771165337E-27,-1.99769190902831E-27,-1.86616971353727E-27,-2.18419086466127E-27,-1.73300614340678E-27,-1.9272005146409E-27,-2.02461938990743E-27,-1.57387853873289E-27,-1.62805770885815E-27,-1.76375245131611E-27,-1.59869825017851E-27,-1.30918847562307E-27,-2.21592330230991E-27,-2.10504833697628E-27,-1.40814914146278E-27,-1.64227585674619E-27,-1.75169348387323E-27,-1.32017840727934E-27,-1.4654847344091E-27,-1.55683300407632E-27,-7.83048005938677E-28,-1.51797408955318E-27,-1.2775990885365E-27
786.6,-1.15754919452946E-27,-1.88428355293754E-27,-1.65452924906955E-27,-1.81687329418622E-27,-1.72797917930229E-27,-2.1226452280672E-27,-1.77374121543075E-27,-2.09867355463484E-27,-1.62337769417626E-27,-1.94114471628984E-27,-1.72602558832776E-27,-1.41353494303284E-27,-1.69176598334452E-27,-1.80619430803855E-27,-2.1291030184529E-27,-1.67812651231518E-27,-1.62057653196614E-27,-1.97984186987909E-27,-1.54578904965912E-27,-1.32551629866216E-27,-1.46284330659106E-27,-1.56532104969074E-27,-1.27697188204988E-27,-1.91297121848512E-27,-1.55232277000058E-27,-1.36431022426749E-27,-1.5941606057776E-27,-1.19452442545847E-27,-1.01489905579312E-27,-1.16446326453441E-27,-1.25241176163983E-27,-1.31339986968609E-27,-1.48458264080864E-27,-6.74394098033752E-28
786.7,-1.41719068986954E-27,-2.12228564815836E-27,-1.88732661511186E-27,-1.78478763452712E-27,-1.69480295040326E-27,-1.84369133286161E-27,-2.25312787123465E-27,-2.06697408099522E-27,-1.58905644308218E-27,-2.14679372302399E-27,-1.4422946767375E-27,-1.63587738032019E-27,-1.9238375459113E-27,-1.77569782261999E-27,-1.84298719769182E-27,-1.89888397353196E-27,-1.58972354827706E-27,-1.95246164400446E-27,-1.79331092880129E-27,-1.56905015204094E-27,-1.43770238737976E-27,-1.26985970254227E-27,-1.24866817823278E-27,-1.88578720794854E-27,-1.78270307632709E-27,-1.59610034687632E-27,-1.31636729102872E-27,-1.684730248376E-27,-9.85389157585364E-28,-1.40661731269226E-27,-9.47625535876728E-28,-1.00672244513472E-27,-1.72679699174973E-27,-9.38140397506877E-28
786.8,-1.38649526713723E-27,-1.82547471496364E-27,-1.85833318367124E-27,-1.75270773206372E-27,-1.91261535451516E-27,-2.05604268966832E-27,-2.21591900741404E-27,-1.53739944850559E-27,-1.30793961244252E-27,-1.86916421181278E-27,-1.40796717813196E-27,-1.35304729496742E-27,-1.8936823127889E-27,-1.74520533661445E-27,-2.31693690427218E-27,-1.61900677105089E-27,-1.81767268140508E-27,-1.66671554435685E-27,-1.22511163422913E-27,-1.54228391501826E-27,-1.14379321456959E-27,-1.24332846033602E-27,-1.22037065436852E-27,-1.61206363870537E-27,-1.75941715099091E-27,-1.05934499351853E-27,-1.54402420285107E-27,-1.66058064965742E-27,-1.21957496566153E-27,-1.11395792681431E-27,-9.18976506621903E-28,-4.21482663911681E-28,-1.13413415999568E-27,-9.06298885005481E-28
