wavelength,emission cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
850.9,2.03518031438326E-29,-1.7496531839752E-28,1.10821417239736E-27,-3.36928011575248E-28,-1.86116191870236E-27,1.78119653975845E-27,7.77857127976669E-28,4.82959388828989E-28,1.52737141058179E-28,-1.99718673938425E-28,2.59869116174893E-27,5.47223669290597E-28,1.68689569377246E-27,8.47422644367828E-28,2.43776588276186E-28,-7.65595544764967E-28,3.61595481485304E-27,1.97576867280028E-27,3.0946769995591E-27,-9.96752461693438E-28,-3.43250779434013E-27,-3.74078369633235E-28,1.07178550209009E-27,5.07676792672933E-27,-2.64384514347527E-27,2.56539567227079E-28,-3.59891512262719E-27,-4.23700840690418E-27,7.85609892496585E-27,2.8850887531134E-27,-3.25446695253286E-27,-1.42591624281249E-27,-2.34532590226781E-27,6.97975495256771E-27
851,-1.68653105713328E-27,3.49650273755347E-27,-6.52200680388047E-28,1.09452304812255E-27,9.97888708637534E-28,-1.45283852478399E-27,-3.10464210974764E-28,8.60206624962795E-28,2.15334355110367E-27,-1.18332679049435E-27,1.14424866675578E-27,-4.05995613514324E-28,4.84789389384047E-27,-3.70551021642577E-27,-2.45479213955506E-27,-1.5145498244914E-28,1.59250049306354E-27,-1.79767045423432E-27,-1.78672830964684E-27,2.84102482455894E-27,1.42506518036777E-27,-5.09425008046429E-28,-1.18984077764696E-27,-2.55963564787187E-28,3.05071423080569E-29,-3.80747860201152E-27,9.12957750305506E-28,-4.8152257367141E-28,-2.53139884328079E-27,1.0643600202777E-27,6.23101978499011E-27,-1.62041963916084E-27,-5.46073177088758E-27,2.07626173919785E-27
851.1,2.23950995116255E-28,1.224355674379E-27,-4.08053398054072E-27,-3.75781933976241E-28,-3.68353024869683E-27,4.07378115223704E-28,-2.1823328555144E-27,4.34423373074516E-27,-1.82211572984899E-27,8.57831849405835E-29,9.59403376453509E-28,1.27688941174505E-27,2.70826023902664E-27,4.8348727245893E-28,2.94134575368569E-28,6.60159248500061E-28,-1.99162851460906E-27,-7.43313935696706E-28,-6.60473665618934E-28,-6.73702501644971E-27,-1.57014321370878E-27,-6.14084002380684E-27,1.64243646157692E-27,-2.89832027780012E-28,4.58725664885478E-27,-2.23262467310381E-27,9.89470286576821E-28,3.25159472383508E-27,7.51039178101962E-27,-2.08030943524349E-27,-1.87723989722906E-27,-3.87458999422427E-27,3.02781674901356E-27,-2.61469095417167E-27
851.2,-4.02342042985587E-28,3.60430923007637E-27,-5.54376512689249E-28,1.44061369983942E-27,-1.92773608244761E-27,5.54665140381761E-28,3.03321266127074E-28,4.41628573776391E-27,4.69963332884297E-27,1.05168987299061E-27,-6.6020762171339E-28,-5.91486444592623E-28,4.37960625810559E-27,-2.70951716177837E-27,-3.07755674293716E-27,-3.65887542096569E-27,-1.23157691191084E-27,1.43104268441889E-27,-4.98808124777588E-27,3.7173334744393E-27,1.84449414917026E-28,1.74181208448984E-27,5.96835076769181E-27,-1.6818197650301E-27,5.21183885955073E-27,8.800517623524E-28,-3.41476326835196E-28,-8.7147635181496E-27,-4.8506314313592E-27,-3.21128486696429E-27,-5.33048980396486E-27,4.86113041240532E-27,6.02532442857932E-28,3.64409726107542E-30
851.3,-4.45586087675359E-27,1.52964061264452E-27,1.0073410032505E-28,2.16539210223094E-27,-4.57563418564468E-28,-2.64147130645497E-27,-3.40161204953029E-27,3.5806313752569E-27,1.42164803088347E-27,-4.41372190819061E-27,2.26408663263138E-27,-5.05334708802947E-28,1.4618472449151E-27,-1.30773268734417E-27,6.59445583214452E-27,1.87708363301259E-27,-1.716798651517E-27,-3.56018703807887E-27,-5.60315930079805E-28,-2.64504034632941E-27,1.60330022967524E-27,-5.15822921554637E-28,1.92482063193838E-27,-1.00760169062159E-27,-5.10044717773594E-27,7.55342359266397E-28,-7.48130811353638E-29,-1.86013511281816E-27,4.36664281276022E-27,9.60780485337463E-28,-1.42895337499515E-27,-5.32814782931243E-27,-8.05066799350204E-28,-6.67502684292351E-28
851.4,-2.15029388279004E-27,-7.60831594902489E-28,-2.43297329517567E-27,1.62137396037191E-27,-3.03669343845699E-27,-2.26363933308773E-27,2.46647691373859E-27,1.1861624767123E-27,-3.00501098659702E-27,1.32184082989144E-27,-3.1323919086612E-27,-7.05668334716895E-29,3.39800428365051E-27,-3.44332944821453E-28,3.56677317132147E-28,5.77854406077543E-28,7.38274462045435E-30,-1.7126744681447E-27,6.36471129471181E-28,-3.15294539321075E-27,2.33154888407453E-27,-3.02150876256125E-28,-2.7604825404797E-29,-1.62704758714837E-27,-4.95080392151167E-27,7.52498401021229E-27,-1.6813579334777E-28,2.84827181920955E-27,3.94299169307097E-27,-5.8599588454997E-27,-6.3450480715308E-27,8.42539538925033E-27,1.9638384469704E-27,4.5098161674031E-27
851.5,-2.37714579583429E-27,-6.09216533978625E-28,-3.58139686639213E-27,-5.78173939516532E-28,1.53544454531136E-27,3.93637407888658E-27,2.94829908106719E-28,2.66661006679606E-27,8.6693450439008E-28,-1.40053111417898E-27,3.8305817785811E-27,1.19397240681871E-28,3.08651462048471E-27,1.39348775565656E-27,-2.94997971934331E-27,2.57138171090969E-27,-2.79351230584224E-27,1.34323416140613E-27,-2.5645045308744E-27,-9.61768933245839E-28,3.36701466056812E-27,3.81738842221354E-27,6.42165097103958E-27,-4.4213027492635E-28,3.28986656318075E-27,9.14047560214207E-28,-1.97404370191356E-27,-4.44863694993933E-28,1.26119830215988E-27,-3.43117058285075E-27,-7.93378900175132E-28,-3.41003540529814E-27,4.38018561752735E-27,-6.7932698165209E-28
851.6,1.68037012319857E-27,3.58980116777436E-27,-8.89660265547638E-28,-1.83111009156424E-27,-2.17488279641577E-27,-6.14110909060014E-27,5.80737424575946E-27,-1.83645271625525E-27,1.10721779297879E-27,3.25964973674939E-27,-5.45601824590691E-27,-1.9622515489304E-27,3.97806145797455E-27,-3.21556844109121E-28,-5.23235965133372E-28,9.82965262621474E-28,-3.78036796106881E-27,-7.99908011761395E-28,7.10867812443624E-28,-5.65547569688607E-28,9.0217717807975E-28,-5.86283975779661E-27,-3.4202887411109E-27,-1.6741965159157E-27,-1.01345687293023E-27,4.54909050590567E-27,-1.79617364526463E-27,-6.13666652723468E-27,-7.52468759435504E-27,7.16907796918476E-27,-2.43681218915723E-27,-7.50261195027796E-27,5.19102294648797E-27,1.5956413748956E-27
851.7,-2.10972297484192E-27,7.29575620772972E-28,-1.28569321578732E-27,-3.48466254958982E-28,-9.17426020653567E-28,-2.50936865010966E-28,-1.6260416097147E-27,8.77172194442807E-28,-1.68310627859148E-27,-2.78768447519526E-27,3.46890151546726E-28,-3.59791322984748E-27,1.5674957465643E-27,3.11312603370517E-28,-1.70005596065344E-27,3.06709191052716E-27,-1.54127651096089E-27,-1.90108521339521E-27,-4.25931171745254E-27,1.89808023590001E-27,-1.29283608360492E-27,-2.57067886951603E-28,1.6245128596613E-28,-4.50050354487061E-28,-1.5864159411294E-27,-1.96719320282437E-27,-3.04344881172013E-27,8.34762682633992E-28,-3.48947230149325E-27,-2.67212094307346E-27,4.38184564594456E-27,-6.83823241490932E-28,-1.55312231537277E-27,2.35735924717086E-27
851.8,-4.35913991838129E-28,-6.17150869821858E-28,7.80324275104524E-29,1.12947312295845E-27,6.84047087683662E-29,-2.86035290928789E-27,1.9479755697037E-27,1.39797924235026E-27,2.63600421187583E-27,1.19333582255347E-27,2.64995186156015E-27,9.86479592571448E-28,6.10624942627128E-27,2.46925683879921E-27,4.11231834013315E-27,7.43863775022202E-28,2.86582874714535E-27,-2.37194796384877E-27,2.15815543635508E-27,-7.65165208760912E-28,2.23298136869475E-27,-4.51333572133993E-27,2.42977175358273E-27,-6.7811848373706E-28,1.05751172743194E-27,-9.15991739496903E-28,-3.30361893721744E-28,-2.79921921968694E-28,-1.20165997312248E-27,-7.86571268361665E-28,-2.75047488432217E-27,-4.01261947840976E-27,-4.96400529520604E-27,4.29069359743018E-27
